,RecievedTime,FinishedRecievedTime,Latitude,Longitude,SailTime,built,dwt,loa,beam,draughtMeters
700,2019-08-09 23:59:10+00:00,2019-08-27 06:30:33+00:00,-33.41097,17.868443333333328,414.52305555555563,2010,75597,225.0,32.26,14.2
701,2019-09-20 06:16:35+00:00,2019-10-03 23:48:48+00:00,4.16622,92.660085,329.53694444444443,2010,75597,225.0,32.26,14.2
702,2019-11-18 15:45:44+00:00,2019-12-04 23:14:22+00:00,-34.96232,18.260615,391.4772222222222,2010,75597,225.0,32.26,14.2
703,2019-06-26 20:53:56+00:00,2019-07-10 15:46:18+00:00,4.39841,91.893615,330.8727777777778,2013,77901,224.88,32.26,14.35
704,2019-08-24 15:59:14+00:00,2019-09-08 13:43:18+00:00,-33.90712166666667,26.971115,357.73444444444436,2013,77901,224.88,32.26,14.35
705,2019-12-04 15:59:35+00:00,2019-12-18 23:26:26+00:00,-33.91621833333333,26.558775,343.4475,2013,77901,224.88,32.26,14.35
706,2019-03-26 15:59:48+00:00,2019-04-09 14:31:14+00:00,-32.454256666666666,31.12165,334.5238888888889,2012,82172,228.99,32.26,14.0
707,2019-04-19 23:59:45+00:00,2019-05-05 07:48:13+00:00,-35.584336666666665,31.404426666666666,367.8077777777778,2009,82191,228.99,32.26,14.43
708,2020-01-26 12:55:53+00:00,2020-02-09 07:53:04+00:00,3.934335,92.91331,330.95305555555564,2009,82191,228.99,32.26,14.43
709,2019-07-27 07:59:32+00:00,2019-08-15 12:46:32+00:00,-34.665526666666665,18.467536666666668,460.78333333333336,2009,82108,228.99,32.26,14.43
710,2019-06-30 07:58:32+00:00,2019-07-17 13:34:11+00:00,-35.054025,18.199903333333328,413.5941666666667,2010,82217,228.99,32.26,14.43
711,2019-09-09 22:22:54+00:00,2019-09-24 15:52:37+00:00,3.63105,92.17741666666667,353.4952777777778,2008,76381,225.0,32.26,14.22
712,2019-11-03 07:59:00+00:00,2019-11-19 22:53:22+00:00,-33.88766666666667,25.68721666666667,398.90611111111116,2008,76381,225.0,32.26,14.22
713,2019-04-16 23:59:53+00:00,2019-05-02 04:07:30+00:00,-35.7584,33.8741,364.1269444444445,2011,75725,225.0,32.26,14.2
714,2019-08-25 07:45:44+00:00,2019-09-12 06:28:15+00:00,-34.92963,18.728515,430.70861111111117,2011,93246,229.2,38.0,14.9
715,2019-12-10 13:05:10+00:00,2019-12-24 06:43:02+00:00,2.2575066666666666,89.963265,329.6311111111111,2010,93282,229.2,38.0,14.9
716,2020-01-16 23:58:46+00:00,2020-02-03 03:14:54+00:00,-35.154091666666666,18.6054,411.26888888888885,2011,75700,225.0,32.26,14.2
717,2019-06-04 23:59:09+00:00,2019-06-23 07:44:19+00:00,-35.496325,18.199401666666667,439.7527777777778,2012,75700,225.0,32.26,14.2
718,2019-08-30 13:46:52+00:00,2019-09-15 07:55:07+00:00,4.562493333333333,92.47306166666668,378.1375,2012,75700,225.0,32.26,14.2
719,2019-11-08 23:51:28+00:00,2019-11-24 23:37:46+00:00,-35.90580833333333,30.36223,383.77166666666665,2012,75700,225.0,32.26,14.2
