,Unnamed: 0,Imo,RecievedTime,FinishedRecievedTime,Latitude,Longitude,NavStatus,SailTime,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1417,1417,9705366,2019-11-16 15:49:59+00:00,2019-12-01 05:22:27+00:00,-34.912805,18.182415,0,349.54111111111115,Astrea,Bulk Carrier,2015,81838,229.0,32.26,In Service,Marshall Is.,7.0,7.0,Tsuneishi Cebu,Philippines,14.4,08/01/2020,8/31/2025
1418,1418,9706530,2019-10-31 07:54:43+00:00,2019-11-12 23:25:52+00:00,3.492031666666666,91.28995166666668,0,303.51916666666665,Alma,Bulk Carrier,2017,81947,229.0,32.26,In Service,Marshall Is.,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,2/23/2017,2/22/2022
1419,1419,9706542,2019-04-17 05:43:44+00:00,2019-05-01 15:58:13+00:00,4.4271416666666665,93.16242166666666,0,346.2413888888889,Axios,Bulk Carrier,2017,81960,229.0,32.26,In Service,Marshall Is.,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,6/30/2017,6/29/2022
1420,1420,9706554,2019-09-01 07:53:51+00:00,2019-09-20 15:02:20+00:00,-35.30090666666667,18.294961666666666,0,463.14138888888886,Jag Akshay,Bulk Carrier,2016,82044,229.0,32.26,In Service,India,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,8/29/2016,8/28/2021
1421,1421,9706554,2019-10-13 07:01:01+00:00,2019-10-27 23:24:58+00:00,4.63184,92.778,0,352.39916666666664,Jag Akshay,Bulk Carrier,2016,82044,229.0,32.26,In Service,India,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,8/29/2016,8/28/2021
1422,1422,9706554,2019-12-17 15:51:19+00:00,2020-01-04 06:15:58+00:00,-35.258835,17.791864999999994,0,422.41083333333336,Jag Akshay,Bulk Carrier,2016,82044,229.0,32.26,In Service,India,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,8/29/2016,8/28/2021
1423,1423,9706566,2019-08-08 07:33:27+00:00,2019-08-26 15:33:17+00:00,-35.22895666666667,18.740175,0,439.9972222222222,Jag Aalok,Bulk Carrier,2016,82023,229.0,32.26,In Service,India,7.0,7.0,Jiangsu New YZJ,China P.R.,14.45,7/29/2016,7/28/2021
1424,1424,9706786,2019-07-20 15:51:38+00:00,2019-08-07 22:10:40+00:00,-34.96007,18.351755,0,438.3172222222222,Agia Sofia,Bulk Carrier,2016,82045,229.0,32.26,In Service,Liberia,7.0,7.0,Jiangsu New YZJ,China P.R.,14.47,07/06/2020,07/05/2025
1425,1425,9706786,2020-01-20 19:55:29+00:00,2020-02-05 23:55:09+00:00,5.177898333333333,93.68613333333332,0,387.9944444444445,Agia Sofia,Bulk Carrier,2016,82045,229.0,32.26,In Service,Liberia,7.0,7.0,Jiangsu New YZJ,China P.R.,14.47,07/06/2020,07/05/2025
1426,1426,9708540,2019-09-11 23:59:48+00:00,2019-10-02 13:51:19+00:00,-34.713415000000005,18.707551666666667,0,493.85861111111114,Capricorn Trader,Bulk Carrier,2015,81922,228.9,32.26,In Service,Panama,7.0,7.0,Tsuneishi Cebu,Philippines,14.43,3/30/2020,01/08/2025
