,Imo,RecievedTime,FinishedRecievedTime,Latitude,Longitude,NavStatus,SailTime
547,9426025,2019-04-03 15:58:49+00:00,2019-04-26 14:14:45+00:00,-33.946693333333336,25.952026666666665,0,550.2655555555556
548,9426037,2019-07-04 09:36:53+00:00,2019-07-29 15:59:40+00:00,6.198996666666668,91.7395,0,606.3797222222222
549,9426049,2019-12-26 05:38:09+00:00,2020-01-09 07:51:23+00:00,5.306333333333333,93.93583333333332,0,338.22055555555556
550,9426063,2019-09-04 07:56:55+00:00,2019-09-21 12:55:49+00:00,-35.591618333333344,17.743333333333332,0,412.9816666666667
551,9426104,2019-04-26 14:13:51+00:00,2019-05-11 07:46:02+00:00,4.451885,92.64445666666668,0,353.5363888888889
552,9426104,2019-06-28 07:59:04+00:00,2019-07-15 22:34:59+00:00,-34.59620333333333,18.159125,0,422.5986111111111
553,9427029,2019-07-31 23:54:42+00:00,2019-08-19 06:38:48+00:00,-35.111175,18.899185,0,438.735
554,9433602,2019-07-31 23:56:27+00:00,2019-08-17 07:22:18+00:00,-35.577783333333336,27.91828333333333,0,391.43083333333334
555,9433626,2019-06-26 07:58:50+00:00,2019-07-19 15:01:21+00:00,-34.35496166666667,17.741383333333335,0,559.0419444444444
556,9433626,2019-08-30 13:06:56+00:00,2019-09-11 23:49:03+00:00,4.342696666666667,92.52148000000001,0,298.70194444444445
557,9433626,2019-10-14 23:58:02+00:00,2019-10-30 13:17:23+00:00,-34.940331666666665,19.184968333333334,0,373.3225
558,9433664,2019-11-02 07:55:35+00:00,2019-11-20 00:59:44+00:00,-35.902395,17.984275,0,425.06916666666666
559,9436654,2019-09-12 03:07:13+00:00,2019-09-27 07:36:37+00:00,3.4551,90.92313333333334,0,364.49
560,9437098,2019-05-10 07:06:35+00:00,2019-05-25 15:48:59+00:00,3.944716666666667,91.51495,0,368.70666666666665
561,9437098,2019-07-12 15:38:54+00:00,2019-07-30 23:29:49+00:00,-34.942933333333336,17.771116666666668,0,439.8486111111111
562,9437414,2019-09-05 05:39:03+00:00,2019-09-19 23:49:51+00:00,3.08169,91.793865,0,354.18
563,9440394,2019-08-29 23:51:34+00:00,2019-09-16 13:24:51+00:00,-35.32338,18.080213333333333,0,421.5547222222222
564,9440394,2019-10-02 18:08:29+00:00,2019-10-16 15:54:49+00:00,5.4494083333333325,94.09163666666667,0,333.77222222222224
565,9440394,2019-12-01 07:59:07+00:00,2019-12-16 07:17:19+00:00,-33.90684333333333,26.522235,0,359.30333333333334
566,9440849,2019-09-16 13:23:30+00:00,2019-10-01 15:36:47+00:00,5.385613333333334,94.01217666666666,0,362.2213888888889
567,9440849,2020-01-19 01:32:00+00:00,2020-02-03 07:59:42+00:00,4.980731666666666,93.44821333333331,0,366.46166666666664
568,9442378,2019-03-29 15:57:56+00:00,2019-04-15 15:51:16+00:00,-35.503955,18.46309833333333,0,407.8888888888889
569,9442380,2019-08-09 15:59:47+00:00,2019-08-27 21:52:28+00:00,-34.87226666666667,18.540176666666667,0,437.87805555555553
570,9442524,2019-04-02 07:33:53+00:00,2019-04-15 23:43:32+00:00,2.879035,90.96282,0,328.16083333333336
571,9442756,2019-10-06 07:41:26+00:00,2019-10-22 06:22:15+00:00,-34.84475666666667,17.776266666666668,0,382.6802777777778
572,9442768,2019-04-10 07:47:20+00:00,2019-04-26 20:17:53+00:00,-35.117475,18.455211666666667,0,396.50916666666666
573,9442768,2019-06-07 02:23:49+00:00,2019-06-21 07:54:43+00:00,5.661573333333332,94.24185,0,341.515
574,9442768,2019-08-07 15:56:21+00:00,2019-08-25 12:41:35+00:00,-34.437886666666664,17.961078333333333,0,428.75388888888887
575,9442770,2019-09-08 04:56:24+00:00,2019-09-21 15:52:56+00:00,4.5633550000000005,92.68014833333334,0,322.9422222222222
576,9443009,2019-07-13 08:23:04+00:00,2019-07-28 23:54:30+00:00,6.43925,95.25175,0,375.5238888888889
577,9443009,2019-10-01 23:58:05+00:00,2019-10-17 12:36:41+00:00,-33.93318333333333,26.13933333333333,0,372.6433333333333
578,9450909,2020-02-09 14:02:05+00:00,2020-02-27 15:58:22+00:00,6.223183333333332,95.10163333333334,0,433.93805555555554
579,9453406,2019-08-07 22:42:35+00:00,2019-08-30 23:31:02+00:00,6.233183333333334,93.20608333333334,0,552.8075
580,9453494,2019-05-07 04:01:50+00:00,2019-05-21 07:57:21+00:00,4.663056666666667,93.24032,0,339.92527777777775
581,9453494,2019-07-08 15:51:52+00:00,2019-07-28 06:22:06+00:00,-35.319181666666665,18.918776666666666,0,470.50388888888887
582,9453509,2019-05-03 23:59:09+00:00,2019-05-23 01:22:09+00:00,-34.31250333333333,18.161321666666666,0,457.3833333333333
583,9453523,2019-11-08 15:59:16+00:00,2019-11-24 12:45:05+00:00,-33.73714833333333,26.951456666666665,0,380.7636111111111
584,9453535,2019-12-16 19:18:37+00:00,2019-12-30 07:57:52+00:00,1.560838333333333,89.10849,0,324.65416666666664
585,9454280,2019-08-12 07:56:01+00:00,2019-08-29 20:34:50+00:00,-35.99024,18.248878333333334,0,420.64694444444444
586,9454280,2019-09-21 23:58:37+00:00,2019-10-05 07:59:06+00:00,5.919580000000001,94.39031833333334,0,320.00805555555553
587,9454280,2019-11-18 07:59:26+00:00,2019-12-02 14:38:57+00:00,-33.7164,27.19769333333333,0,342.6586111111111
588,9457854,2019-09-13 00:20:13+00:00,2019-09-28 07:57:46+00:00,6.158948333333332,95.19715666666669,0,367.62583333333333
589,9458767,2019-06-15 07:59:26+00:00,2019-07-04 15:20:37+00:00,-33.136025,17.763083333333334,0,463.35305555555556
590,9458781,2019-05-03 11:20:54+00:00,2019-05-17 15:55:47+00:00,4.93014,93.34641166666668,0,340.5813888888889
591,9460590,2019-12-16 07:52:24+00:00,2020-01-02 23:25:22+00:00,-35.44654666666667,19.047388333333334,0,423.5494444444444
592,9460904,2019-06-16 05:27:23+00:00,2019-06-30 07:55:30+00:00,6.25395,95.32365,0,338.4686111111111
593,9460904,2019-08-04 15:57:40+00:00,2019-08-23 13:59:16+00:00,-34.93986666666667,17.812466666666666,0,454.02666666666664
594,9461063,2019-06-11 07:53:42+00:00,2019-06-29 23:01:17+00:00,-35.049915000000006,18.718675,0,447.12638888888887
595,9461099,2019-06-11 23:59:20+00:00,2019-06-29 06:04:21+00:00,-33.915016666666666,25.965066666666665,0,414.0836111111111
596,9461099,2019-10-16 07:58:44+00:00,2019-11-02 07:41:34+00:00,-35.05813333333333,18.864266666666666,0,407.7138888888889
597,9461116,2019-06-21 15:59:03+00:00,2019-07-04 23:52:42+00:00,-35.58069166666667,31.440590000000004,0,319.89416666666665
598,9461116,2019-12-16 15:54:11+00:00,2020-01-01 23:48:30+00:00,-35.79817833333333,29.449006666666666,0,391.90527777777777
599,9461128,2019-05-06 19:36:22+00:00,2019-05-21 07:57:53+00:00,4.906138333333334,93.48184,0,348.3586111111111
600,9461128,2019-08-15 13:40:41+00:00,2019-08-27 15:40:53+00:00,2.8125716666666665,90.865925,0,290.00333333333333
601,9461128,2019-10-04 07:52:16+00:00,2019-10-18 22:06:00+00:00,-35.99923166666667,19.418936666666667,0,350.2288888888889
602,9461130,2019-10-06 15:58:01+00:00,2019-10-22 06:55:00+00:00,-35.748371666666664,29.581496666666666,0,374.94972222222225
603,9461154,2019-04-19 15:58:54+00:00,2019-05-07 07:38:03+00:00,-34.55523,18.28974833333333,0,423.6525
604,9461192,2019-07-04 23:46:39+00:00,2019-07-24 13:42:33+00:00,-34.92810333333333,18.473846666666667,0,469.9316666666667
