,Unnamed: 0,Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,UnderwayCount,WaitingCount,MooredCount,OtherCount,FinishedCount,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1256,1256,9584607,2019-09-30 15:57:34+00:00,-20.08407,118.638195,1,2 days 00:01:47.000000000,65,32,32,0,1481,Amorito,Bulk Carrier,2012,179322,292.0,45.0,In Service,Liberia,9.0,9.0,Sungdong SB,South Korea,18.32,9/15/2016,9/14/2021
1257,1257,9584607,2019-11-16 23:58:27+00:00,-20.069293333333327,118.60646333333334,1,10 days 08:00:16.000000000,65,20,26,0,1834,Amorito,Bulk Carrier,2012,179322,292.0,45.0,In Service,Liberia,9.0,9.0,Sungdong SB,South Korea,18.32,9/15/2016,9/14/2021
1258,1258,9585106,2019-07-26 23:59:24+00:00,-20.072328333333328,118.52517666666668,1,3 days 07:58:12.000000000,56,28,32,0,967,Aquarange,Bulk Carrier,2011,179842,292.0,45.0,In Service,Liberia,9.0,9.0,HHIC-Phil (Subic SY),Philippines,18.22,9/29/2020,8/17/2025
1259,1259,9587154,2020-01-15 07:58:57+00:00,-20.129275,118.52968666666666,1,1 days 16:00:01.000000000,61,21,27,0,2314,Western Maple,Bulk Carrier,2010,32493,179.9,28.4,In Service,Hong Kong,5.0,5.0,Taizhou Maple Leaf,China P.R.,10.15,8/14/2015,12/16/2020
1260,1260,9587257,2019-06-25 23:58:13+00:00,-20.094231666666666,118.57592833333334,1,3 days 15:59:26.000000000,70,30,29,0,735,Huahine,Bulk Carrier,2013,206037,299.92,50.0,In Service,Malta,9.0,9.0,SCS Shipbuilding,China P.R.,18.47,7/29/2018,10/20/2023
1261,1261,9587257,2019-08-01 15:57:10+00:00,-20.107255,118.54072333333332,1,3 days 08:00:20.000000000,56,23,25,0,1016,Huahine,Bulk Carrier,2013,206037,299.92,50.0,In Service,Malta,9.0,9.0,SCS Shipbuilding,China P.R.,18.47,7/29/2018,10/20/2023
1262,1262,9587257,2019-09-12 15:59:52+00:00,-20.11322,118.52521000000002,1,2 days 07:58:14.000000000,68,16,30,0,1345,Huahine,Bulk Carrier,2013,206037,299.92,50.0,In Service,Malta,9.0,9.0,SCS Shipbuilding,China P.R.,18.47,7/29/2018,10/20/2023
1263,1263,9588457,2019-05-21 23:59:53+00:00,-20.065405,118.572095,1,2 days 07:57:32.000000000,52,36,26,0,444,Star Polaris,Bulk Carrier,2011,179678,292.0,45.0,In Service,Marshall Is.,9.0,9.0,HHIC-Phil (Subic SY),Philippines,18.22,11/21/2016,11/13/2021
1264,1264,9588457,2019-07-05 07:57:55+00:00,-20.078178333333334,118.60393666666668,1,4 days 16:00:47.000000000,72,20,29,0,811,Star Polaris,Bulk Carrier,2011,179678,292.0,45.0,In Service,Marshall Is.,9.0,9.0,HHIC-Phil (Subic SY),Philippines,18.22,11/21/2016,11/13/2021
1265,1265,9588457,2019-08-15 15:57:53+00:00,-20.109021666666667,118.51654666666668,1,0 days 15:59:29.000000000,65,25,23,0,1128,Star Polaris,Bulk Carrier,2011,179678,292.0,45.0,In Service,Marshall Is.,9.0,9.0,HHIC-Phil (Subic SY),Philippines,18.22,11/21/2016,11/13/2021
1266,1266,9588457,2019-09-18 15:59:24+00:00,-20.138805,118.54182166666666,1,2 days 08:00:21.000000000,64,26,30,0,1391,Star Polaris,Bulk Carrier,2011,179678,292.0,45.0,In Service,Marshall Is.,9.0,9.0,HHIC-Phil (Subic SY),Philippines,18.22,11/21/2016,11/13/2021
1267,1267,9588457,2019-10-23 07:57:17+00:00,-20.11599,118.52749833333333,1,3 days 08:02:42.000000000,64,29,37,0,1644,Star Polaris,Bulk Carrier,2011,179678,292.0,45.0,In Service,Marshall Is.,9.0,9.0,HHIC-Phil (Subic SY),Philippines,18.22,11/21/2016,11/13/2021
1268,1268,9588457,2019-11-28 07:58:15+00:00,-20.12011,118.53796333333334,1,5 days 16:00:00.000000000,62,24,22,0,1928,Star Polaris,Bulk Carrier,2011,179678,292.0,45.0,In Service,Marshall Is.,9.0,9.0,HHIC-Phil (Subic SY),Philippines,18.22,11/21/2016,11/13/2021
1269,1269,9588495,2019-05-12 15:59:48+00:00,-20.083796666666668,118.53549833333334,1,1 days 15:24:01.000000000,47,22,21,0,369,Philadelphia,Bulk Carrier,2012,206040,299.92,50.0,In Service,Marshall Is.,9.0,9.0,SCS Shipbuilding,China P.R.,18.4,3/13/2017,5/15/2022
1270,1270,9588495,2019-06-18 23:59:38+00:00,-20.083773333333333,118.61693333333334,1,0 days 23:58:09.000000000,72,35,31,0,674,Philadelphia,Bulk Carrier,2012,206040,299.92,50.0,In Service,Marshall Is.,9.0,9.0,SCS Shipbuilding,China P.R.,18.4,3/13/2017,5/15/2022
1271,1271,9588495,2020-02-22 07:58:14+00:00,-20.119593333333327,118.60475666666666,1,5 days 08:00:11.000000000,5,37,12,0,2592,Philadelphia,Bulk Carrier,2012,206040,299.92,50.0,In Service,Marshall Is.,9.0,9.0,SCS Shipbuilding,China P.R.,18.4,3/13/2017,5/15/2022
1272,1272,9588768,2019-04-18 07:59:19+00:00,-20.105543333333333,118.56636,1,9 days 07:57:53.000000000,25,39,21,0,170,China Pioneer,Bulk Carrier,2012,206079,299.92,50.0,In Service,Hong Kong,9.0,9.0,Shanghai Waigaoqiao,China P.R.,18.4,6/17/2017,07/10/2022
1273,1273,9588768,2019-05-26 07:58:32+00:00,-20.090903333333333,118.56402166666666,0,3 days 08:01:26.000000000,53,30,26,0,472,China Pioneer,Bulk Carrier,2012,206079,299.92,50.0,In Service,Hong Kong,9.0,9.0,Shanghai Waigaoqiao,China P.R.,18.4,6/17/2017,07/10/2022
1274,1274,9588768,2019-06-15 07:58:46+00:00,-20.120218333333334,118.507545,1,1 days 00:00:58.000000000,68,29,31,0,642,China Pioneer,Bulk Carrier,2012,206079,299.92,50.0,In Service,Hong Kong,9.0,9.0,Shanghai Waigaoqiao,China P.R.,18.4,6/17/2017,07/10/2022
1275,1275,9588768,2019-08-11 15:57:19+00:00,-20.127493333333334,118.52060833333331,1,0 days 16:00:27.000000000,61,21,29,0,1091,China Pioneer,Bulk Carrier,2012,206079,299.92,50.0,In Service,Hong Kong,9.0,9.0,Shanghai Waigaoqiao,China P.R.,18.4,6/17/2017,07/10/2022
1276,1276,9589396,2019-11-17 07:59:55+00:00,-20.085391666666666,118.60528,1,0 days 15:57:32.000000000,68,23,25,0,1839,Blue Lhotse,Bulk Carrier,2011,180132,292.0,45.0,In Service,Panama,9.0,9.0,Daehan Shipbuilding,South Korea,18.22,12/28/2015,03/07/2021
1277,1277,9589621,2019-04-30 07:59:39+00:00,-20.082166666666666,118.608,1,4 days 15:57:49.000000000,35,35,25,0,268,Edgar,Bulk Carrier,2011,118936,259.91,43.0,In Service,Liberia,7.0,7.0,Sinopacific Zhejiang,China P.R.,14.5,8/18/2018,07/10/2021
1278,1278,9589621,2019-06-07 07:59:52+00:00,-20.082,118.60066666666668,1,6 days 23:59:27.000000000,65,25,26,0,576,Edgar,Bulk Carrier,2011,118936,259.91,43.0,In Service,Liberia,7.0,7.0,Sinopacific Zhejiang,China P.R.,14.5,8/18/2018,07/10/2021
