Latitude,Longitude,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,draughtMeters
-20.135865,118.5384933,7.999166667,29,27,3,2019,49999,183.1,32.2,13.24
-20.09283333,118.56793,7.999444444,22,32,1,2011,180643,291.9,45,18.07
-20.08829,118.5232717,7.999444444,27,24,1,2011,180643,291.9,45,18.07
-20.32698333,118.5864,7.999722222,22,24,1,2004,203278,299.95,50,17.91
-20.3304,118.5823,7.999722222,20,38,1,2009,181383,292,45,18.18
-20.32033,118.5694633,8.000277778,36,39,1,2009,169031,287.5,45,17.7
-20.08547333,118.5241333,8.000555556,22,30,1,2011,180643,291.9,45,18.07
-20.09797,118.5358817,8.000555556,20,29,1,2011,181399,291.98,45,18.24
-20.08718333,118.5249167,8.000833333,32,22,3,2009,31612,171.6,27,10.42
-20.088015,118.528715,8.000833333,27,28,1,2011,180643,291.9,45,18.07
-20.13688333,118.5412833,8.000833333,41,20,1,2009,207942,299.7,50,18.23
-20.09358167,118.601635,8.000833333,19,27,1,2017,210000,299.87,48.99,18.62
-20.136395,118.539095,8.000833333,29,26,2,2017,261088,327,57,18.8
-20.1403,118.5370667,8.001111111,25,27,1,2011,207941,300,50,18.2
-20.09342833,118.6211667,8.001111111,19,26,1,2011,179078,292,45,18.32
-20.15133333,118.5414083,8.001388889,27,34,1,2012,32070,175.53,29.4,9.62
-20.13485,118.5348833,8.001388889,22,23,1,2008,76381,225,32.26,14.22
-20.10826667,118.5142,8.001388889,24,31,1,2012,175231,291.8,45,18.25
-20.065405,118.5935917,8.001944444,36,38,1,2011,180643,291.9,45,18.07
-20.09136667,118.5671833,8.002222222,22,28,1,2007,180151,288.93,45,18.17
-20.15198667,118.5210567,8.0025,26,17,2,2017,261084,327,57,18.8
-20.08382,118.61938,8.003333333,24,29,1,2013,104229,253.54,43,13
-20.12334333,118.6096633,8.003333333,25,28,1,2011,106661,253,43,13.6
-20.08447,118.5252017,8.003333333,21,29,1,2011,180643,291.9,45,18.07
-20.11403833,118.619655,8.003333333,36,31,1,2012,206160,299.92,50,18.4
-20.11940667,118.5614133,8.003611111,18,25,2,2018,261052,327,57,18.8
-20.14990667,118.5384167,8.004166667,34,16,3,2012,45950,181.54,32.2,12.17
-20.15315333,118.5382967,8.004444444,22,26,2,2010,228990,324.99,52.5,18.1
-20.125635,118.5938,8.004722222,12,18,1,2010,180423,294.47,46,18.1
-20.11055,118.60805,8.004722222,19,23,1,2010,206291,299.94,50,18.1
-20.118985,118.5783283,8.005,13,20,1,2015,55404,189.9,32.26,12.5
-20.12001833,118.5416067,8.005,32,31,1,2013,179134,292,45,18.22
-20.13508333,118.5336333,8.005,35,14,1,2009,207942,299.7,50,18.23
-20.0657,118.5945567,8.005277778,34,42,1,2011,180643,291.9,45,18.07
-20.07156,118.6066167,8.005555556,27,24,1,2009,169031,287.5,45,17.7
-20.104555,118.5247133,8.005555556,28,29,1,2010,180086,294.47,46,18.1
-20.12265,118.6073983,8.005555556,3,3,1,2006,173624,289,45,18.22
-20.094875,118.6340833,8.006388889,32,23,2,2018,261064,327,57,18.8
-20.13697333,118.5451283,8.007222222,31,27,1,2014,120397,245,43,15.6
-20.12199333,118.541855,8.007222222,19,26,1,2011,182128,292,45,18.18
-20.12431667,118.5678833,8.0075,27,33,1,2010,180086,294.47,46,18.1
-20.08215167,118.6148333,8.0075,43,18,1,2014,208086,299.88,50,18.4
-20.147455,118.539345,8.008333333,17,29,1,2014,40481,179.99,30,10.7
-20.094095,118.5904033,8.008611111,28,32,1,2014,115297,254,43,14.5
-20.15266667,118.5366667,8.009166667,18,23,1,2009,93251,230,38,14.9
-20.11960833,118.5666433,8.009444444,25,29,1,2006,173541,289,45,18.22
-20.12887167,118.529075,8.009444444,24,25,1,2019,206392,300,50,18.3
-20.108715,118.5400017,8.009444444,18,27,2,2018,261052,327,57,18.8
-20.12032667,118.5428567,8.009722222,25,31,1,2010,180702,292,45,18.2
-20.12224833,118.5736083,8.01,28,33,1,2012,207964,300,50,18.22
-20.15225667,118.542105,8.010277778,25,29,1,2011,176296,292,45,18.32
-20.09569833,118.53674,8.010555556,38,40,1,2010,170022,287,45,17.7
-20.152,118.5428833,8.011111111,25,26,1,2011,179362,291.97,45,18.22
-20.11235,118.5784,8.011388889,21,40,1,2009,180274,288.93,45,18.17
-20.12126167,118.5614883,8.011388889,23,26,1,2011,176469,292,45,18.3
-20.13903167,118.5421633,8.011944444,15,25,1,2011,178342,292,44.98,17.98
-20.12173667,118.5414617,8.013055556,20,23,1,2012,208025,300,50,18.22
-20.13743167,118.5345417,8.013055556,34,15,1,2014,208003,299.92,50,18.4
-20.12232,118.6085933,8.013055556,21,27,1,2015,209956,299.99,50,18.43
-20.140105,118.5382817,8.013333333,17,29,2,2016,260840,327,57,18.8
-20.139145,118.5362267,8.014166667,23,30,2,2013,262779,328.05,57,18.83
-20.092935,118.5138983,8.015277778,26,32,2,2011,228800,324.99,52.5,18.1
-20.10648167,118.5666183,8.015277778,28,25,1,2010,176354,292,45,18.3
-20.10653167,118.6230833,8.015555556,32,37,2,2011,229126,324.99,52.5,18.1
-20.10990833,118.5421633,8.015555556,24,23,2,2012,228749,324.99,52.5,18.1
-20.09225,118.578575,8.015555556,22,29,1,2014,207891,300,50,18.2
-20.07425,118.52344,8.015833333,29,30,3,2017,45500,183.06,32.2,12.32
-20.12028833,118.6359767,8.017777778,37,37,1,2011,107392,254.99,43,13.53
-20.13778667,118.5352767,8.018055556,14,27,1,2016,208329,299.95,50,18.4
-20.13383333,118.538,8.019166667,13,24,2,2011,228915,324.99,52.5,18.1
-20.13879333,118.5417833,8.019444444,32,39,1,2013,115198,254,43,14.5
-20.15046667,118.5406167,8.020277778,26,28,1,2005,206237,299.94,50,18.1
-20.11006167,118.5355733,8.020833333,23,27,1,2012,203027,299.95,49,18.35
-20.09363833,118.5820783,8.021388889,19,25,1,2009,182129,295,46,18.28
-20.15258667,118.536,8.0225,12,22,1,2011,180388,294.47,46,18.1
-20.15015,118.5350333,8.022777778,31,25,1,2006,174204,289,45,18.12
-20.13936667,118.54075,8.023055556,37,9,1,2011,175911,291.8,45,18.25
-20.15476167,118.53674,8.023333333,30,26,1,2018,37802,179.93,30,10.53
-20.15217833,118.53993,8.023333333,9,22,1,2017,210000,299.87,48.99,18.62
-20.12264833,118.5816,8.023611111,13,23,1,2016,209172,299.95,50,18.4
-20.09705833,118.565365,8.024166667,14,29,1,2018,208564,299.95,50,18.32
-20.15055333,118.5350183,8.024166667,18,21,2,2017,261084,327,57,18.8
-20.11936667,118.56575,8.024444444,16,23,1,2007,180151,288.93,45,18.17
-20.13619667,118.54322,8.025277778,26,26,1,2015,209537,300,50,18.4
-20.108,118.5155,8.025555556,17,27,1,2006,174232,289,45,17.95
-20.13618333,118.5341333,8.025555556,21,19,2,2013,263055,328.05,57,18.83
-20.15336667,118.5400083,8.026111111,31,28,3,2008,51277,183,32.2,12.9
-20.06889333,118.5734133,8.026666667,37,12,1,2014,181015,292,45,18.3
-20.12316333,118.567295,8.027222222,2,0,1,2009,177944,292,45,18.3
-20.12165333,118.588705,8.027777778,35,13,1,2016,182631,292,45,18.15
-20.09605667,118.5400033,8.028888889,19,37,1,2014,207547,299.94,50,18.27
-20.15207667,118.5368833,8.028888889,18,27,1,2016,209200,299.95,50,18.4
-20.15187167,118.540075,8.029722222,21,41,3,2012,33175,177,28.6,10.03
-20.15035,118.5369933,8.034444444,33,30,1,2002,175775,289,45,17.78
-20.108325,118.6027583,8.034444444,35,35,1,2012,175062,291.8,45,18.25
-20.09915667,118.5269467,8.034722222,25,25,1,2011,181399,291.98,45,18.24
-20.10452167,118.6200517,8.035,36,37,1,2007,177853,292,45,18.3
-20.10809167,118.540015,8.035833333,16,32,1,2011,175153,291.8,45,18.25
-20.13305,118.5348833,8.036388889,17,28,1,2009,180018,292,45,17.92
-20.09427167,118.583955,8.0375,31,29,1,2016,206752,300,50,18.59
-20.08086833,118.5416817,8.037777778,22,23,1,2012,179719,292,45,18.21
-20.08960667,118.5237917,8.038611111,30,30,1,2017,207241,299.88,50,18.5
-20.10634167,118.5113883,8.039444444,22,27,1,2013,176532,292,45,18.3
-20.08935,118.5231,8.039722222,14,23,1,2010,179255,291.97,45,18.2
-20.105525,118.6058067,8.04,33,28,1,2016,182644,292,45,18.18
-20.11770667,118.5794367,8.040277778,23,29,1,2016,209475,300,50,18.4
-20.13549,118.513795,8.040555556,32,27,2,2008,229117,319.58,54,18.1
-20.1408,118.511245,8.041944444,23,24,2,2017,260911,327,57,18.8
-20.08221667,118.5356167,8.042222222,30,29,1,2006,176996,288.97,45,17.96
-20.11016833,118.517655,8.043333333,24,22,1,2014,181394,291.98,45,18.24
-20.13641833,118.5322983,8.045277778,24,34,1,2014,206048,299.92,50,18.4
-20.12936667,118.5218,8.045555556,16,29,1,2010,175800,291.8,45,18.25
-20.12794,118.5650867,8.046944444,12,19,1,2009,180311,294.47,46,18.1
-20.081355,118.5119867,8.048055556,23,28,1,2014,115339,254,43,14.5
-20.08607333,118.5215367,8.117222222,20,27,1,2010,32635,179.9,28.4,10.15
-20.122495,118.6314933,9.341111111,26,27,3,2010,32280,177,28.4,10.02
-20.09454333,118.511745,10.26666667,37,20,1,2017,209249,299.95,50,18.4
-20.09627667,118.5747533,14,22,26,1,2012,180125,295,46,18.1
-20.12115333,118.56676,15.50916667,28,26,1,2007,177852,291.95,45,18.3
-20.09406,118.5771317,15.825,24,29,1,2016,206938,300,50,18.59
-20.109125,118.56521,15.93305556,24,20,3,2017,17625,130.94,23,9.92
-20.12197,118.5426217,15.93527778,20,27,1,2015,179428,292,45,18.3
-20.08093833,118.5877017,15.95472222,22,25,1,2014,179965,295,46,18.1
-20.14684167,118.5226133,15.95666667,23,34,1,2012,180643,291.9,45,18.07
