f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.659669886,0.125637804,0.102790968,0.953488372,0.454545455,1,0.777777778,0.001253314,0.043865812,0.021052632,0
0.969364261,0.963018661,0.564070654,0.558139535,0.477272727,1,0.777777778,0.001253314,0.043865812,0.021052632,0
0.753320047,0.159977358,0.051283763,0.697674419,0.863636364,1,0.5,0.000133916,0,0,0.028129395
0.757147212,0.165041814,0.051453792,0.511627907,0.818181818,1,0.5,4.46E-05,0,0,0.028129395
0.778081728,0.866024176,0.128286411,0.860465116,0.659090909,1,0.5,0.000133916,0,0,0.028129395
0.87721517,0.917467042,0.205379859,0.604651163,0.681818182,1,0.555555556,0,0,0,0.028129395
0.822028694,0.762736004,0.256646708,0.860465116,0.636363636,1,0.5,0.000133916,0,0,0.028129395
0.827685666,0.456036957,0.282237403,0.581395349,0.863636364,1,0.5,4.46E-05,0,0,0.028129395
0.925311859,0.834203703,0.106474632,0.558139535,0.727272727,0,0.166666667,0.035600972,0.121673839,0.157894737,0.087201125
0.897548038,0.181438849,0.410359126,0.511627907,0.613636364,0,0.444444444,0.080060983,0.286686572,0.242105263,0.161744023
0.666430972,0.281147427,0.000144213,0.604651163,0.772727273,0,0.555555556,0.081070501,0.278036357,0.273684211,0.170182841
0.785438248,0.539422269,0.025803454,0.581395349,0.5,1,0.5,0.030333622,0.134846755,0.065789474,0.175105485
0.782454716,0.27784903,0.153864643,0.627906977,0.659090909,0,0.611111111,0.070752125,0.253754281,0.210526316,0.17721519
0.925646811,0.081205858,0.282113665,0.88372093,0.227272727,0,0.055555556,0.07306303,0.256827962,0.210526316,0.17721519
0.825942686,0.080427272,0.205274815,0.860465116,0.909090909,0,0.611111111,0.054654772,0.203697199,0.157894737,0.182841069
0.74931305,0.149521236,0.692399794,0.674418605,0.590909091,0,0.555555556,0.054654772,0.203697199,0.157894737,0.182841069
0.797682614,0.144639375,0.025685056,0.720930233,0.568181818,0,0.5,0.067878089,0.250987969,0.215789474,0.184247539
0.83155001,0.578716722,0.025735798,0.813953488,0.363636364,0,0.333333333,0.068238631,0.250987969,0.215789474,0.184247539
0.821811608,0.930272797,0.025750932,0.906976744,0.25,0,0.388888889,0.068248932,0.250987969,0.215789474,0.184247539
0.926986621,0.076762955,0.051293555,0.348837209,0.545454545,1,0.611111111,0.066854835,0.250944059,0.215789474,0.184247539
0.893826346,0.164834386,0.051407502,0.88372093,0.659090909,0,0.444444444,0.067785378,0.250987969,0.215789474,0.184247539
0.854773368,0.145734945,0.076934992,0.930232558,0.477272727,0,0.555555556,0.067905559,0.250987969,0.215789474,0.184247539
0.833348853,0.452543549,0.07727594,0.534883721,0.75,0,0.5,0.067963932,0.250987969,0.215789474,0.184247539
0.799673719,0.180111748,0.205250779,0.790697674,0.568181818,0,0.777777778,0.088988696,0.297488364,0.289473684,0.184247539
