Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,holdsTotal,hatchesToNo,draughtMeters
9731767,2019-09-03 23:58:06+00:00,-20.10535,118.5659667,1,7.986388889,15,22,Ore Carrier,2016,250292,325,57,9,9,18
9526679,2019-10-13 23:59:33+00:00,-20.10894833,118.5834633,1,7.987222222,33,43,Bulk Carrier,2010,175868,291.8,45,9,9,18.25
9534975,2019-11-20 15:59:41+00:00,-20.12392,118.621595,1,7.987222222,17,22,Bulk Carrier,2010,93114,229.2,38,7,7,14.9
9621352,2020-01-08 07:59:07+00:00,-20.12346667,118.6355783,0,7.987777778,21,28,Ore Carrier,2014,250868,329.95,57,9,9,18.02
9595606,2019-11-24 15:59:03+00:00,-20.11861167,118.5902983,0,7.988611111,24,23,Bulk Carrier,2011,179469,291.97,45,9,9,18.22
9307061,2019-11-08 23:57:46+00:00,-20.10764833,118.62171,1,7.989166667,20,33,Bulk Carrier,2006,173624,289,45,9,9,18.22
9420590,2019-12-22 15:57:54+00:00,-20.07649833,118.541875,1,7.989444444,26,27,Bulk Carrier,2010,180407,295,46,9,9,18.1
9471630,2019-09-10 07:58:07+00:00,-20.121615,118.5396533,1,7.990833333,18,26,Bulk Carrier,2011,93283,230,38,7,7,14.9
9446635,2019-04-18 07:59:26+00:00,-20.120005,118.5947783,1,7.991944444,40,21,Bulk Carrier,2011,181399,291.98,45,9,9,18.24
9518921,2019-11-16 07:59:32+00:00,-20.10815,118.5419667,1,7.9925,22,24,Bulk Carrier,2010,180022,292,45,9,9,18.22
9719379,2019-07-15 15:58:20+00:00,-20.13579333,118.537015,1,7.9925,15,29,Bulk Carrier,2017,38852,182,30,5,5,10.52
9689691,2020-01-15 07:59:00+00:00,-20.11060833,118.5698717,1,7.993055556,22,27,Bulk Carrier,2016,179177,292.26,45,9,9,18.32
