,RecievedTime,FinishedRecievedTime,Latitude,Longitude,WaitTime,type,built,dwt,loa,beam,draughtMeters
32,2019-09-10 07:58:49+00:00,2019-09-10 23:58:25+00:00,49.99736666666666,-66.80641666666666,15.993333333333334,Bulk Carrier,1978,37257,226.12,23.74,10.15
33,2019-09-13 15:58:14+00:00,2019-09-14 23:59:34+00:00,46.00655,-73.1712,32.022222222222226,Bulk Carrier,1978,37257,226.12,23.74,10.15
34,2019-10-07 15:59:59+00:00,2019-10-07 23:57:34+00:00,46.848475,-71.159085,7.959722222222222,Bulk Carrier,1978,37257,226.12,23.74,10.15
35,2019-10-11 23:58:55+00:00,2019-10-13 15:13:01+00:00,46.12768666666667,-62.289165,39.235,Bulk Carrier,1978,37257,226.12,23.74,10.15
36,2019-10-23 07:57:46+00:00,2019-10-24 23:57:30+00:00,45.67064166666667,-85.40588333333334,39.99555555555556,Bulk Carrier,1978,37257,226.12,23.74,10.15
37,2019-11-10 07:57:51+00:00,2019-11-12 07:59:29+00:00,50.00545333333334,-66.74044333333333,48.02722222222222,Bulk Carrier,1978,37257,226.12,23.74,10.15
38,2019-11-29 15:57:38+00:00,2019-12-02 23:59:30+00:00,49.95797,-66.89118833333333,80.03111111111113,Bulk Carrier,1978,37257,226.12,23.74,10.15
39,2019-12-09 15:57:47+00:00,2019-12-09 23:59:20+00:00,50.007765,-66.76697333333334,8.025833333333333,Bulk Carrier,1978,37257,226.12,23.74,10.15
40,2019-12-12 23:55:07+00:00,2019-12-14 15:57:00+00:00,46.01547166666667,-73.1692,40.03138888888889,Bulk Carrier,1978,37257,226.12,23.74,10.15
41,2019-12-28 23:59:32+00:00,2020-01-03 08:17:28+00:00,49.96973166666667,-66.861595,128.29888888888888,Bulk Carrier,1978,37257,226.12,23.74,10.15
42,2020-02-18 07:58:48+00:00,2020-02-20 15:59:48+00:00,49.98086666666666,-66.79878000000001,56.01666666666666,Bulk Carrier,1978,37257,226.12,23.74,10.15
43,2019-05-21 07:56:48+00:00,2019-05-21 23:36:48+00:00,46.67600666666666,-71.83745166666667,15.666666666666664,Bulk Carrier,1980,38289,222.49,23.14,9.72
44,2019-05-30 23:32:32+00:00,2019-05-31 21:13:12+00:00,50.23173166666667,-63.578265,21.677777777777774,Bulk Carrier,1980,38289,222.49,23.14,9.72
45,2019-06-22 06:19:39+00:00,2019-06-22 23:58:36+00:00,46.055958333333336,-73.123195,17.649166666666666,Bulk Carrier,1980,38289,222.49,23.14,9.72
46,2019-09-05 15:58:24+00:00,2019-09-07 15:52:30+00:00,46.05607833333333,-73.12337,47.901666666666664,Bulk Carrier,1980,38289,222.49,23.14,9.72
47,2019-09-13 10:00:14+00:00,2019-09-15 04:52:40+00:00,46.05563166666666,-73.12388666666666,42.873888888888885,Bulk Carrier,1980,38289,222.49,23.14,9.72
48,2019-09-20 15:30:26+00:00,2019-09-24 02:30:14+00:00,46.05546500000001,-73.12285333333334,82.99666666666667,Bulk Carrier,1980,38289,222.49,23.14,9.72
49,2019-10-22 15:57:08+00:00,2019-11-02 15:59:48+00:00,48.43189,-89.16960999999998,264.04444444444437,Bulk Carrier,1980,38289,222.49,23.14,9.72
