,Imo,RecievedTime,FinishedRecievedTime,Latitude,Longitude,NavStatus,WaitTime
42,7711725,2020-02-18 07:58:48+00:00,2020-02-20 15:59:48+00:00,49.98086666666666,-66.79878000000001,1,56.016666666666666
43,7901148,2019-05-21 07:56:48+00:00,2019-05-21 23:36:48+00:00,46.67600666666666,-71.83745166666667,1,15.666666666666666
44,7901148,2019-05-30 23:32:32+00:00,2019-05-31 21:13:12+00:00,50.23173166666667,-63.578265,1,21.677777777777777
45,7901148,2019-06-22 06:19:39+00:00,2019-06-22 23:58:36+00:00,46.055958333333336,-73.123195,1,17.649166666666666
46,7901148,2019-09-05 15:58:24+00:00,2019-09-07 15:52:30+00:00,46.05607833333333,-73.12337,1,47.901666666666664
47,7901148,2019-09-13 10:00:14+00:00,2019-09-15 04:52:40+00:00,46.05563166666666,-73.12388666666666,1,42.87388888888889
48,7901148,2019-09-20 15:30:26+00:00,2019-09-24 02:30:14+00:00,46.055465000000005,-73.12285333333334,1,82.99666666666667
49,7901148,2019-10-22 15:57:08+00:00,2019-11-02 15:59:48+00:00,48.43189,-89.16960999999999,1,264.0444444444444
50,7901148,2019-11-07 07:47:56+00:00,2019-11-10 12:29:51+00:00,46.055353333333336,-73.12356833333334,1,76.6986111111111
51,7901148,2019-11-17 15:59:41+00:00,2019-11-17 23:58:34+00:00,46.055785,-73.12431333333333,1,7.981388888888889
52,7901148,2019-11-24 23:59:11+00:00,2019-11-26 15:59:03+00:00,46.05582666666667,-73.123985,1,39.99777777777778
53,7901148,2019-11-30 07:18:40+00:00,2019-12-01 18:23:58+00:00,50.22750333333333,-63.58014166666667,1,35.08833333333333
54,7901148,2019-12-11 07:59:47+00:00,2019-12-13 06:59:49+00:00,46.05443666666667,-73.12953333333333,1,47.00055555555556
55,7901148,2019-12-25 15:57:51+00:00,2019-12-26 21:13:46+00:00,44.942209999999996,-75.04356666666666,1,29.26527777777778
56,7926162,2019-03-30 22:07:55+00:00,2019-04-09 19:19:02+00:00,12.283505,-72.008135,1,237.18527777777777
57,7926162,2019-04-19 22:41:06+00:00,2019-04-20 15:57:53+00:00,32.66099166666667,-79.46379,1,17.279722222222222
58,7926162,2019-04-24 07:58:28+00:00,2019-04-25 23:57:33+00:00,38.918508333333335,-76.4142,1,39.984722222222224
59,7926162,2019-04-30 22:30:45+00:00,2019-05-03 13:36:45+00:00,45.456855,-61.20212333333333,1,63.1
60,7926162,2019-05-04 22:22:33+00:00,2019-05-05 23:59:19+00:00,45.42249333333334,-61.18524166666667,1,25.61277777777778
61,7926162,2019-05-26 23:57:04+00:00,2019-05-29 23:59:33+00:00,38.91601333333333,-76.42017666666666,1,72.04138888888889
62,7926162,2019-06-03 23:50:02+00:00,2019-06-04 22:43:16+00:00,45.459385,-61.207885,1,22.88722222222222
63,7926162,2019-06-06 05:12:15+00:00,2019-06-07 04:50:42+00:00,45.462073333333336,-61.20670166666667,1,23.640833333333333
64,7926162,2019-06-14 15:55:16+00:00,2019-06-14 23:58:45+00:00,28.30103166666667,-80.40864,1,8.058055555555555
65,7926162,2019-06-25 15:04:15+00:00,2019-07-03 22:18:18+00:00,45.45610833333333,-61.20114666666666,1,199.23416666666665
66,7926162,2019-07-05 07:37:06+00:00,2019-07-05 22:38:36+00:00,45.45851666666667,-61.20810666666666,1,15.025
67,7926162,2019-08-09 20:02:32+00:00,2019-08-14 07:58:43+00:00,37.273645,-76.10472666666666,1,107.93638888888889
68,7926162,2019-08-18 15:57:21+00:00,2019-08-19 15:59:24+00:00,38.939483333333335,-76.40530666666666,1,24.034166666666668
69,7926162,2019-08-29 15:36:11+00:00,2019-08-30 04:59:24+00:00,12.305068333333333,-72.01736,1,13.386944444444444
70,7926162,2019-09-09 13:17:03+00:00,2019-09-11 07:35:09+00:00,47.93662333333333,-65.80323166666666,1,42.30166666666667
71,7926162,2019-10-10 19:29:01+00:00,2019-10-11 07:37:03+00:00,9.034348333333334,-80.69501166666667,1,12.133888888888889
72,7926162,2019-11-11 15:59:50+00:00,2019-11-15 18:23:41+00:00,11.121511666666667,-74.27619333333334,1,98.3975
